InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
TRUE,TRUE,Ty Cobb,24,11436,2247,4189,724,295,117,1944,896,0.366299405386499,0.511892270024484,0,1,1,0,0,5854,31,1928,1475
TRUE,TRUE,Eddie Collins,25,9949,1821,3315,438,187,47,1300,741,0.333199316514223,0.428987837973666,0,1,0,0,0,4268,29,1930,1612
TRUE,TRUE,George Sisler,15,8267,1284,2812,425,164,102,1175,375,0.340147574694569,0.468247248094835,0,1,0,0,0,3871,16,1930,1651
TRUE,TRUE,Harry Heilmann,17,7787,1291,2660,542,151,183,1539,113,0.341594965968923,0.520482856042122,0,0,0,0,0,4053,2,1932,1750
TRUE,TRUE,Babe Ruth,22,8398,2174,2873,506,136,714,2217,123,0.342105263157895,0.68980709692784,2,1,0,0,0,5793,33,1935,1898
TRUE,TRUE,Rabbit Maranville,23,10078,1255,2605,380,177,28,884,291,0.258483826155983,0.339650724350069,0,0,0,0,0,3423,7,1935,1913
TRUE,TRUE,Frankie Frisch,19,9112,1532,2880,466,138,105,1244,419,0.316066725197542,0.432067603160667,3,1,0,0,0,3937,15,1937,2030
TRUE,TRUE,Rogers Hornsby,23,8173,1579,2930,541,169,301,1584,135,0.358497491741099,0.576532485011624,0,2,2,0,0,4712,27,1937,2032
TRUE,TRUE,Lou Gehrig,17,8001,1888,2721,534,163,493,1995,102,0.340082489688789,0.632420947381577,7,2,1,0,0,5060,25,1939,2137
TRUE,TRUE,Gabby Hartnett,20,6432,867,1912,396,64,236,1179,28,0.29726368159204,0.488805970149254,6,1,0,0,0,3144,16,1941,2221
TRUE,TRUE,Al Simmons,20,8759,1507,2927,539,149,307,1827,88,0.334170567416372,0.534878410777486,3,0,0,0,0,4685,23,1944,2398
TRUE,TRUE,Jimmie Foxx,20,8134,1751,2646,458,125,534,1922,87,0.325301204819277,0.609294320137694,9,3,1,0,0,4956,22,1945,2507
TRUE,TRUE,Bill Dickey,17,6300,930,1969,343,72,202,1209,37,0.312539682539683,0.486031746031746,11,0,0,0,0,3062,20,1946,2576
TRUE,TRUE,Mel Ott,22,9456,1859,2876,488,72,511,1860,89,0.30414551607445,0.533100676818951,12,0,0,0,0,5041,11,1947,2669
TRUE,TRUE,Hank Greenberg,13,5193,1051,1628,379,71,331,1276,58,0.313498940881956,0.605045253225496,5,2,0,0,0,3142,12,1947,2702
TRUE,TRUE,Ralph Kiner,10,5205,971,1451,216,39,369,1015,22,0.278770413064361,0.547934678194044,6,0,0,0,0,2852,10,1955,3188
TRUE,TRUE,Jackie Robinson,10,4877,947,1518,273,54,137,734,197,0.311256920237851,0.473651835144556,6,1,0,0,0,2310,10,1956,3251
TRUE,TRUE,Stan Musial,22,10972,1949,3630,725,177,475,1951,78,0.330842143638352,0.559059423988334,20,3,0,0,0,6134,34,1963,3563
TRUE,TRUE,Duke Snider,18,7161,1259,2116,358,85,407,1333,99,0.295489456779779,0.539729088116185,8,0,0,0,0,3865,6,1964,3650
TRUE,TRUE,Yogi Berra,19,7555,1175,2150,321,49,358,1430,30,0.28457974851092,0.482197220383852,15,3,0,0,0,3643,13,1965,3709
TRUE,TRUE,Mickey Mantle,18,8102,1677,2415,344,72,536,1509,153,0.298074549493952,0.556776104665515,16,3,1,1,0,4511,15,1968,3859
TRUE,TRUE,Ernie Banks,19,9421,1305,2583,407,90,512,1636,50,0.274174716059866,0.499522343700244,11,2,0,1,0,4706,10,1971,4045
TRUE,TRUE,Roberto Clemente,18,9454,1416,3000,440,166,240,1305,83,0.317325999576899,0.47514279669981,12,1,0,12,0,4492,21,1972,4064
TRUE,TRUE,Luis Aparicio,18,10230,1335,2677,394,92,83,791,506,0.261681329423265,0.342521994134897,10,0,0,9,0,3504,15,1973,4181
TRUE,TRUE,Al Kaline,22,10116,1622,3007,498,75,399,1583,137,0.297251878212732,0.479636219849743,15,0,0,10,0,4852,20,1974,4225
TRUE,TRUE,Harmon Killebrew,22,8147,1283,2086,290,24,573,1584,19,0.256045170001227,0.508530747514423,11,1,0,0,0,4143,8,1975,4297
TRUE,TRUE,Hank Aaron,23,12364,2174,3771,624,98,755,2297,240,0.304998382400518,0.554513102555807,21,1,0,3,0,6856,16,1976,4345
TRUE,TRUE,Frank Robinson,21,10006,1829,2943,528,72,586,1812,204,0.294123525884469,0.536977813312013,12,2,1,1,0,5373,15,1976,4378
TRUE,TRUE,Brooks Robinson,23,10654,1232,2848,482,68,268,1357,28,0.267317439459358,0.400788436268068,15,1,0,16,0,4270,32,1977,4394
TRUE,TRUE,Willie McCovey,22,8197,1229,2211,353,46,521,1555,26,0.269732829083811,0.514700500182994,6,1,0,0,0,4219,10,1980,4663
TRUE,TRUE,Willie Stargell,21,7927,1194,2232,423,55,475,1540,17,0.281569320045414,0.528573230730415,7,1,0,0,0,4190,12,1982,4792
TRUE,TRUE,Joe Morgan,22,9277,1650,2517,449,96,268,1133,689,0.271316158240811,0.427077719090223,10,2,0,5,0,3962,17,1984,4951
TRUE,TRUE,Pete Rose,24,14053,2165,4256,746,135,160,1314,198,0.302853483242012,0.409307621148509,17,1,0,2,0,5752,16,1986,5107
TRUE,TRUE,Tony Perez,23,9778,1272,2732,505,79,379,1652,49,0.279402740846799,0.463489466148497,7,0,0,0,0,4532,4,1986,5123
TRUE,TRUE,Jim Rice,16,8225,1249,2452,373,79,382,1451,58,0.298115501519757,0.502006079027356,8,1,0,0,0,4129,10,1989,5282
TRUE,TRUE,Mike Schmidt,18,8352,1506,2234,408,59,548,1595,174,0.267480842911877,0.527298850574713,12,3,0,10,0,4404,33,1989,5306
TRUE,TRUE,Gary Carter,19,7971,1025,2092,371,31,324,1225,39,0.262451386275248,0.438715343118806,11,0,0,3,0,3497,17,1992,5522
TRUE,TRUE,Carlton Fisk,24,8756,1276,2356,421,47,376,1330,128,0.269072635906807,0.456715395157606,11,0,0,1,0,3999,10,1993,5645
TRUE,TRUE,George Brett,21,10349,1583,3154,665,137,317,1596,201,0.3047637452894,0.487390085998647,13,1,0,1,0,5044,14,1993,5674
TRUE,TRUE,Kirby Puckett,12,7244,1071,2304,414,57,207,1085,134,0.318056322473771,0.476670347874103,10,0,0,6,0,3453,22,1995,5758
FALSE,FALSE,Willy Fetzer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,34
FALSE,FALSE,Gene Good,1,119,4,18,0,0,0,0,2,0.151260504201681,0.151260504201681,0,0,0,0,0,18,0,1906,35
FALSE,FALSE,Harry Huston,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,37
FALSE,FALSE,Ducky Holmes,1,27,2,5,0,0,0,2,0,0.185185185185185,0.185185185185185,0,0,0,0,0,5,0,1906,38
FALSE,FALSE,Tom Walsh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,40
FALSE,FALSE,Jack Schulte,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,41
FALSE,FALSE,Allie Strobel,2,336,29,66,10,3,1,26,2,0.196428571428571,0.25297619047619,0,0,0,0,0,85,0,1906,43
FALSE,FALSE,Red Morgan,1,307,20,66,6,3,1,21,7,0.214983713355049,0.263843648208469,0,0,0,0,0,81,0,1906,44
FALSE,FALSE,Phil Reardon,1,14,0,1,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0,1,0,1906,46
FALSE,FALSE,Lee Quillin,2,160,18,32,5,0,0,14,9,0.2,0.23125,0,0,0,0,0,37,0,1907,47
FALSE,FALSE,Bob Peterson,2,131,11,25,1,1,1,9,1,0.190839694656489,0.236641221374046,0,0,0,0,0,31,0,1907,49
FALSE,FALSE,Monty Pfyl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,50
FALSE,FALSE,Bill McCarthy,2,11,1,1,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0,1,0,1907,52
FALSE,FALSE,Ed McLane,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,53
FALSE,FALSE,Pete Noonan,3,479,40,98,11,7,4,38,5,0.204592901878914,0.281837160751566,0,0,0,0,0,135,0,1907,55
FALSE,FALSE,Howard Wakefield,3,274,24,68,11,2,1,25,6,0.248175182481752,0.313868613138686,0,0,0,0,0,86,0,1907,56
FALSE,FALSE,Buck Hopkins,1,44,7,6,3,0,0,3,2,0.136363636363636,0.204545454545455,0,0,0,0,0,9,0,1907,58
FALSE,FALSE,Pete Lister,1,65,5,18,2,0,0,4,2,0.276923076923077,0.307692307692308,0,0,0,0,0,20,0,1907,59
FALSE,FALSE,Billy Kelsey,1,5,1,2,0,0,0,0,0,0.4,0.4,0,0,0,0,0,2,0,1907,61
FALSE,FALSE,Kid Butler,1,59,4,13,2,0,0,6,1,0.220338983050847,0.254237288135593,0,0,0,0,0,15,0,1907,62
FALSE,FALSE,Forrest Crawford,2,167,8,35,3,1,0,14,1,0.209580838323353,0.239520958083832,0,0,0,0,0,40,0,1907,64
FALSE,FALSE,Marc Campbell,1,4,0,1,0,0,0,1,0,0.25,0.25,0,0,0,0,0,1,0,1907,65
FALSE,FALSE,Homer Davidson,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1908,67
FALSE,FALSE,Mike Donovan,2,21,2,5,1,0,0,2,0,0.238095238095238,0.285714285714286,0,0,0,0,0,6,0,1908,68
FALSE,FALSE,Dick Bayless,1,71,7,16,1,0,1,3,0,0.225352112676056,0.28169014084507,0,0,0,0,0,20,0,1908,70
FALSE,FALSE,Jim Ball,2,51,4,7,2,0,0,3,0,0.137254901960784,0.176470588235294,0,0,0,0,0,9,0,1908,71
