InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,B,B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Jamie Quirk,18,2266,193,544,2,3,43,247,5,0.240070609002648,0.347308031774051,0,0,0,0,0,937,1992,5522
FALSE,FALSE,Tony Perezchica,4,101,10,23,2,3,0,5,0,0.227722772277228,0.316831683168317,0,0,0,0,0,40,1992,5524
FALSE,FALSE,Geno Petralli,12,1874,184,501,2,3,24,192,8,0.267342582710779,0.35965848452508,0,0,0,0,0,790,1993,5525
FALSE,FALSE,Gus Polidor,7,434,33,90,2,3,2,35,3,0.207373271889401,0.255760368663594,0,0,0,0,0,128,1993,5527
FALSE,FALSE,John Orton,5,401,35,80,2,3,4,29,2,0.199501246882793,0.27431421446384,0,0,0,0,0,132,1993,5528
FALSE,FALSE,Nelson Santovenia,7,884,77,206,2,3,22,116,4,0.233031674208145,0.364253393665158,0,0,0,0,0,390,1993,5530
FALSE,FALSE,Doug Saunders,1,67,8,14,2,3,0,0,0,0.208955223880597,0.238805970149254,0,0,0,0,0,18,1993,5531
FALSE,FALSE,Marc Ronan,1,12,0,1,2,3,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,1,1993,5533
FALSE,FALSE,Kevin Reimer,6,1455,162,376,2,3,52,204,7,0.258419243986254,0.429553264604811,0,0,0,0,0,766,1993,5534
FALSE,FALSE,Jeff Richardson,3,153,13,27,2,3,2,13,1,0.176470588235294,0.254901960784314,0,0,0,0,0,47,1993,5536
FALSE,TRUE,Dale Murphy,18,7960,1197,2111,2,3,398,1266,161,0.265201005025126,0.468969849246231,7,2,0,5,0,4520,1993,5537
FALSE,FALSE,Pete O'Brien,12,5437,654,1421,2,3,169,736,24,0.261357366194593,0.409049107963951,0,0,0,0,0,2668,1993,5539
FALSE,FALSE,Charlie Montoyo,1,5,1,2,2,3,0,3,0,0.4,0.6,0,0,0,0,0,4,1993,5540
FALSE,FALSE,Luis Mercedes,3,153,19,29,2,3,0,9,1,0.189542483660131,0.241830065359477,0,0,0,0,0,44,1993,5542
FALSE,FALSE,Jeff McNeely,1,37,10,11,2,3,0,1,6,0.297297297297297,0.378378378378378,0,0,0,0,0,16,1993,5543
FALSE,FALSE,Lonnie Maclin,1,13,2,1,2,3,0,1,1,0.0769230769230769,0.0769230769230769,0,0,0,0,0,1,1993,5545
FALSE,FALSE,Mitch Lyden,1,10,2,3,2,3,1,1,0,0.3,0.6,0,0,0,0,0,7,1993,5546
FALSE,FALSE,Steve Lyons,9,2162,264,545,2,3,19,196,42,0.252081406105458,0.340425531914894,0,0,0,0,0,872,1993,5548
FALSE,FALSE,Chito Martinez,3,429,58,111,2,3,18,58,1,0.258741258741259,0.445221445221445,0,0,0,0,0,233,1993,5549
FALSE,FALSE,Tracy Woodson,5,506,42,125,2,3,5,50,2,0.24703557312253,0.328063241106719,0,0,0,0,0,195,1993,5551
FALSE,FALSE,Ted Wood,3,109,9,20,2,3,1,7,0,0.18348623853211,0.238532110091743,0,0,0,0,0,30,1993,5552
FALSE,FALSE,Craig Wilson,5,362,31,91,2,3,1,37,2,0.251381215469613,0.290055248618785,0,0,0,0,0,117,1993,5554
FALSE,FALSE,Dan Walters,2,273,20,64,2,3,5,32,1,0.234432234432234,0.347985347985348,0,0,0,0,0,115,1993,5557
FALSE,FALSE,Jim Walewander,4,242,50,52,2,3,1,14,15,0.214876033057851,0.272727272727273,0,0,0,0,0,77,1993,5558
FALSE,FALSE,Curt Wilkerson,11,2452,272,600,2,3,8,179,81,0.244698205546493,0.305057096247961,0,0,0,0,0,857,1993,5560
FALSE,FALSE,Darrell Sherman,1,63,8,14,2,3,0,2,2,0.222222222222222,0.238095238095238,0,0,0,0,0,16,1993,5561
FALSE,FALSE,Tommy Shields,2,34,4,6,2,3,0,1,0,0.176470588235294,0.205882352941176,0,0,0,0,0,8,1993,5563
FALSE,FALSE,Larry Sheets,8,2284,273,607,2,3,94,339,6,0.265761821366024,0.436514886164623,0,0,0,0,0,1194,1993,5564
FALSE,FALSE,Tim Teufel,11,3112,415,789,2,3,86,379,23,0.25353470437018,0.403598971722365,0,0,0,0,0,1539,1993,5566
FALSE,FALSE,Dickie Thon,15,4449,496,1176,2,3,71,435,167,0.264329062710721,0.374466172173522,1,0,0,0,0,1972,1993,5567
FALSE,FALSE,Hector Villanueva,4,473,53,109,2,3,25,72,1,0.230443974630021,0.441860465116279,0,0,0,0,0,257,1993,5569
FALSE,FALSE,Jose Uribe,10,3064,307,738,2,3,19,219,74,0.240861618798956,0.313968668407311,0,0,0,0,0,1114,1993,5570
FALSE,FALSE,Paul Faries,4,214,26,43,2,3,0,14,5,0.200934579439252,0.252336448598131,0,0,0,0,0,63,1993,5573
FALSE,FALSE,Bob Geren,5,765,62,178,2,3,22,76,0,0.232679738562092,0.349019607843137,0,0,0,0,0,311,1993,5575
FALSE,FALSE,Jay Gainer,1,41,4,7,2,3,3,6,1,0.170731707317073,0.390243902439024,0,0,0,0,0,19,1993,5576
FALSE,FALSE,Dan Gladden,11,4501,663,1215,2,3,74,446,222,0.269940013330371,0.382137302821595,0,0,0,0,0,2037,1993,5578
FALSE,FALSE,Donald Harris,3,117,17,24,2,3,2,11,2,0.205128205128205,0.282051282051282,0,0,0,0,0,38,1993,5579
FALSE,FALSE,Cesar Hernandez,2,75,9,16,2,3,0,5,4,0.213333333333333,0.266666666666667,0,0,0,0,0,24,1993,5581
FALSE,FALSE,Alfredo Griffin,18,6780,759,1688,2,3,24,527,192,0.248967551622419,0.318731563421829,1,0,0,1,0,2508,1993,5582
FALSE,FALSE,Kelly Gruber,10,3159,431,818,2,3,117,443,80,0.258942703387148,0.432098765432099,2,0,0,1,0,1654,1993,5584
FALSE,FALSE,Gene Larkin,7,2321,275,618,2,3,32,266,23,0.266264541146058,0.374407582938389,0,0,0,0,0,1044,1993,5585
FALSE,FALSE,Steve Lake,11,1125,89,267,2,3,18,108,1,0.237333333333333,0.330666666666667,0,0,0,0,0,436,1993,5587
FALSE,FALSE,Brian Koelling,1,15,2,1,2,3,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0,1,1993,5588
FALSE,FALSE,Derek Lee,1,33,3,5,2,3,0,4,0,0.151515151515152,0.181818181818182,0,0,0,0,0,7,1993,5590
FALSE,FALSE,Doug Lindsey,2,6,0,1,2,3,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,1,1993,5591
FALSE,FALSE,Wayne Housie,2,24,4,5,2,3,0,1,1,0.208333333333333,0.291666666666667,0,0,0,0,0,9,1993,5593
FALSE,FALSE,Keith Hughes,4,201,18,41,2,3,2,24,1,0.203980099502488,0.283582089552239,0,0,0,0,0,67,1993,5594
FALSE,FALSE,Doug Jennings,5,322,36,65,2,3,5,37,0,0.201863354037267,0.316770186335404,0,0,0,0,0,126,1993,5596
FALSE,FALSE,Tim Jones,6,485,45,113,2,3,1,28,15,0.232989690721649,0.294845360824742,0,0,0,0,0,170,1993,5597
FALSE,FALSE,Wally Backman,14,3245,482,893,2,3,10,240,117,0.275192604006163,0.338674884437596,0,0,0,0,0,1266,1993,5599
FALSE,FALSE,Kevin Baez,3,151,10,27,2,3,0,7,0,0.178807947019868,0.245033112582781,0,0,0,0,0,47,1993,5600
FALSE,TRUE,George Bell,12,6123,814,1702,2,3,265,1002,67,0.277968316184877,0.469214437367304,3,1,0,0,0,3480,1993,5602
