InductedToHallOfFame,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB
FALSE,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,126,11,25,4,0,0,4,1,0.198412698,0.23015873,0,0,0,0,0,33
FALSE,3,423,44,96,13,5,3,39,6,0.226950355,0.302600473,0,0,0,0,0,149
FALSE,1,42,11,10,1,0,0,2,0,0.238095238,0.261904762,0,0,0,0,0,12
FALSE,4,1540,204,406,52,34,9,162,61,0.263636364,0.359090909,0,0,0,0,0,648
FALSE,8,3359,478,963,175,67,32,466,86,0.286692468,0.407264067,0,0,0,0,0,1642
FALSE,3,1100,170,307,39,12,4,97,32,0.279090909,0.347272727,0,0,0,0,0,437
FALSE,7,2020,215,607,88,38,8,261,42,0.30049505,0.393564356,0,0,0,0,0,929
FALSE,4,352,21,58,9,5,0,30,3,0.164772727,0.21875,0,0,0,0,0,91
FALSE,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,8,2764,367,763,114,43,45,292,129,0.276049204,0.397250362,0,0,0,0,0,1300
FALSE,1,52,5,13,2,0,0,3,3,0.25,0.288461538,0,0,0,0,0,17
FALSE,3,82,5,18,1,1,0,7,2,0.219512195,0.256097561,0,0,0,0,0,23
FALSE,1,33,5,8,3,1,0,2,1,0.242424242,0.393939394,0,0,0,0,0,17
FALSE,7,1255,80,272,42,11,3,106,18,0.216733068,0.274900398,0,0,0,0,0,401
FALSE,4,774,136,180,16,7,1,52,46,0.23255814,0.275193798,0,0,0,0,0,237
FALSE,5,913,84,238,46,12,2,117,23,0.26067908,0.343921139,0,0,0,0,0,374
FALSE,11,4169,457,1064,95,32,2,348,136,0.255217078,0.294794915,0,0,0,0,0,1358
FALSE,3,319,20,77,14,1,2,33,4,0.24137931,0.310344828,0,0,0,0,0,116
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,12,1,3,0,0,0,0,1,0.25,0.25,0,0,0,0,0,3
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,4,472,73,113,9,8,0,29,18,0.23940678,0.292372881,0,0,0,0,0,155
FALSE,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,8,2603,345,761,117,62,11,332,132,0.292354975,0.397618133,0,0,0,0,0,1225
FALSE,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,6,2170,256,520,69,25,7,188,87,0.239631336,0.304147465,0,0,0,0,0,761
FALSE,3,1172,120,308,50,21,5,119,43,0.262798635,0.354095563,0,0,0,0,0,491
FALSE,6,986,109,223,22,22,5,94,50,0.226166329,0.30831643,0,0,0,0,0,353
FALSE,4,221,22,54,5,4,1,23,8,0.244343891,0.316742081,0,0,0,0,0,80
FALSE,1,141,14,26,3,2,0,7,5,0.184397163,0.234042553,0,0,0,0,0,38
FALSE,4,548,60,138,30,8,2,72,21,0.251824818,0.346715328,0,0,0,0,0,230
FALSE,1,57,3,16,2,0,0,7,1,0.280701754,0.315789474,0,0,0,0,0,20
FALSE,5,1103,136,297,51,23,15,139,28,0.269265639,0.39800544,0,0,0,0,0,528
FALSE,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,4,1280,167,364,76,15,30,202,46,0.284375,0.4375,0,0,0,0,0,681
FALSE,6,1289,181,311,44,13,3,101,54,0.241272304,0.302560124,0,0,0,0,0,450
FALSE,1,22,1,2,0,0,0,0,0,9.09E-02,9.09E-02,0,0,0,0,0,2
FALSE,4,1241,202,358,65,31,14,157,48,0.288477035,0.424657534,0,0,0,0,0,637
FALSE,3,228,19,55,8,1,1,27,3,0.24122807,0.298245614,0,0,0,0,0,78
FALSE,5,404,38,80,8,5,1,44,7,0.198019802,0.25,0,0,0,0,0,115
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,6,0,1,0,0,0,1,0,0.166666667,0.166666667,0,0,0,0,0,1
FALSE,4,350,35,85,6,4,0,24,12,0.242857143,0.282857143,0,0,0,0,0,109
FALSE,4,1163,167,333,39,15,4,112,52,0.286328461,0.355975924,0,0,0,0,0,472
FALSE,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,3,261,32,51,7,2,1,21,6,0.195402299,0.249042146,0,0,0,0,0,75
FALSE,1,14,2,3,0,1,0,0,0,0.214285714,0.357142857,0,0,0,0,0,6
FALSE,2,272,33,61,5,2,0,22,17,0.224264706,0.257352941,0,0,0,0,0,77
FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,9,3080,374,767,87,29,4,292,167,0.249025974,0.3,0,0,0,0,0,1044
FALSE,8,2822,373,748,101,39,12,318,128,0.265060241,0.341247342,0,0,0,0,0,1115
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,7,1537,181,381,61,16,3,116,57,0.247885491,0.314248536,0,0,0,0,0,563
FALSE,11,4469,572,1103,178,48,8,365,143,0.246811367,0.313492951,0,0,0,0,0,1635
FALSE,14,4072,554,1095,162,60,19,495,208,0.268909627,0.3521611,0,0,0,0,0,1675
FALSE,2,15,1,2,1,0,0,1,1,0.133333333,0.2,0,0,0,0,0,4
FALSE,11,4548,503,1146,112,55,12,397,182,0.251978892,0.308707124,0,0,0,0,0,1583
FALSE,2,74,7,12,3,0,0,9,2,0.162162162,0.202702703,0,0,0,0,0,18
FALSE,9,4624,520,1246,157,114,59,571,98,0.269463668,0.39100346,0,0,0,0,0,2138
FALSE,5,1703,214,465,76,24,7,191,39,0.273047563,0.358191427,0,0,0,0,0,717
FALSE,3,79,12,16,2,1,0,4,2,0.202531646,0.253164557,0,0,0,0,0,23
FALSE,1,48,2,13,2,1,0,5,2,0.270833333,0.354166667,0,0,0,0,0,20
FALSE,3,272,28,56,7,3,1,37,9,0.205882353,0.264705882,0,0,0,0,0,83
FALSE,2,268,30,65,15,4,0,19,11,0.242537313,0.328358209,0,0,0,0,0,107
FALSE,1,44,5,10,0,1,0,1,3,0.227272727,0.272727273,0,0,0,0,0,13
FALSE,1,10,1,3,0,0,0,2,1,0.3,0.3,0,0,0,0,0,3
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,2,63,11,14,2,0,0,5,5,0.222222222,0.253968254,0,0,0,0,0,18
FALSE,6,1942,267,507,61,22,12,202,112,0.261071061,0.333676622,0,0,0,0,0,743
FALSE,2,54,6,11,1,1,0,8,3,0.203703704,0.259259259,0,0,0,0,0,16
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,2,70,3,13,1,0,0,4,1,0.185714286,0.2,0,0,0,0,0,15
FALSE,1,33,5,6,2,0,0,1,0,0.181818182,0.242424242,0,0,0,0,0,10
FALSE,4,433,38,110,10,7,2,49,9,0.25404157,0.323325635,0,0,0,0,0,159
FALSE,3,99,10,27,3,0,0,6,1,0.272727273,0.303030303,0,0,0,0,0,33
FALSE,2,28,0,3,0,0,0,2,0,0.107142857,0.107142857,0,0,0,0,0,3
FALSE,13,3671,372,920,147,32,5,376,248,0.250612912,0.312176519,0,0,0,0,0,1330
FALSE,7,2538,379,618,83,43,15,192,171,0.243498818,0.327817179,0,0,0,0,0,973
FALSE,2,297,38,75,7,5,1,36,4,0.252525253,0.31986532,0,0,0,0,0,108
FALSE,1,57,5,12,3,2,0,3,0,0.210526316,0.333333333,0,0,0,0,0,24
FALSE,2,77,8,13,2,0,0,4,1,0.168831169,0.194805195,0,0,0,0,0,17
FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,13,4291,485,1099,183,54,7,461,167,0.256117455,0.328827779,0,0,0,0,0,1655
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,11,4334,555,1170,168,96,37,579,321,0.269958468,0.378634056,0,0,0,0,0,1942
FALSE,1,52,7,11,1,0,0,5,1,0.211538462,0.230769231,0,0,0,0,0,13
FALSE,1,91,12,18,0,0,0,2,2,0.197802198,0.197802198,0,0,0,0,0,18
FALSE,8,1335,136,306,34,11,5,122,23,0.229213483,0.282397004,0,0,0,0,0,427
FALSE,2,100,14,32,4,2,0,16,6,0.32,0.4,0,0,0,0,0,46
FALSE,8,2244,322,623,79,35,8,221,128,0.277629234,0.354723708,0,0,0,0,0,918
FALSE,2,178,17,34,1,0,0,5,5,0.191011236,0.196629213,0,0,0,0,0,36
FALSE,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,14,4563,640,1252,159,82,32,482,316,0.27438089,0.366206443,0,0,0,0,0,1944
FALSE,1,37,2,11,2,1,0,2,1,0.297297297,0.405405405,0,0,0,0,0,18
FALSE,1,11,1,3,0,0,0,1,0,0.272727273,0.272727273,0,0,0,0,0,3
FALSE,4,1422,143,321,39,25,8,158,58,0.225738397,0.305203938,0,0,0,0,0,506
FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,2,18,1,4,1,0,0,2,0,0.222222222,0.277777778,0,0,0,0,0,6
FALSE,3,171,15,43,7,4,1,32,4,0.251461988,0.356725146,0,0,0,0,0,73
FALSE,2,106,9,27,4,2,0,6,0,0.254716981,0.330188679,0,0,0,0,0,41
FALSE,1,15,1,3,0,0,0,0,0,0.2,0.2,0,0,0,0,0,3
FALSE,1,10,1,2,0,0,0,1,0,0.2,0.2,0,0,0,0,0,2
FALSE,2,9,2,1,0,0,0,0,0,0.111111111,0.111111111,0,0,0,0,0,1
FALSE,7,487,84,131,12,7,1,48,15,0.26899384,0.328542094,0,0,0,0,0,180
FALSE,3,560,40,128,22,5,1,47,14,0.228571429,0.291071429,0,0,0,0,0,191
FALSE,4,989,159,301,71,21,18,146,61,0.304347826,0.473205258,0,0,0,0,0,578
FALSE,2,124,8,23,3,2,1,9,4,0.185483871,0.266129032,0,0,0,0,0,39
FALSE,3,214,17,53,8,1,0,15,2,0.247663551,0.294392523,0,0,0,0,0,72
FALSE,5,1099,109,301,50,15,10,115,20,0.27388535,0.373976342,0,0,0,0,0,486
FALSE,3,697,91,158,35,7,1,59,22,0.226685796,0.301291248,0,0,0,0,0,253
FALSE,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,7,904,118,248,30,13,4,101,30,0.274336283,0.349557522,0,0,0,0,0,363
FALSE,2,515,51,120,20,9,2,70,15,0.233009709,0.318446602,0,0,0,0,0,195
FALSE,4,60,15,13,0,0,0,0,4,0.216666667,0.216666667,0,0,0,0,0,13
FALSE,2,31,3,9,1,1,0,3,0,0.290322581,0.387096774,0,0,0,0,0,14
FALSE,5,145,13,38,4,4,0,10,4,0.262068966,0.344827586,0,0,0,0,0,58
FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,4,569,61,127,25,9,5,59,17,0.223198594,0.32513181,0,0,0,0,0,224
FALSE,1,28,2,3,1,0,0,3,2,0.107142857,0.142857143,0,0,0,0,0,5
FALSE,1,131,9,30,5,4,0,7,2,0.229007634,0.328244275,0,0,0,0,0,52
FALSE,5,305,27,69,9,2,0,26,9,0.226229508,0.268852459,0,0,0,0,0,93
FALSE,11,4831,667,1225,186,60,10,329,176,0.253570689,0.323121507,0,0,0,0,0,1817
FALSE,1,21,3,6,1,0,0,0,0,0.285714286,0.333333333,0,0,0,0,0,8
FALSE,5,1353,183,345,41,18,2,82,78,0.254988914,0.316334072,0,0,0,0,0,489
FALSE,1,24,4,4,0,0,0,2,1,0.166666667,0.166666667,0,0,0,0,0,4
FALSE,1,60,7,7,0,0,0,3,3,0.116666667,0.116666667,0,0,0,0,0,7
FALSE,2,368,33,69,5,6,1,26,6,0.1875,0.241847826,0,0,0,0,0,101
FALSE,10,1708,169,453,66,37,6,191,42,0.265222482,0.357728337,0,0,0,0,0,720
FALSE,2,210,26,43,3,3,0,10,4,0.204761905,0.247619048,0,0,0,0,0,58
FALSE,3,35,5,8,1,0,0,0,0,0.228571429,0.257142857,0,0,0,0,0,10
FALSE,3,129,11,23,2,1,1,14,4,0.178294574,0.23255814,0,0,0,0,0,34
FALSE,7,796,48,183,21,6,0,65,14,0.229899497,0.271356784,0,0,0,0,0,243
FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,11,4536,749,1171,190,74,28,345,428,0.258156966,0.351190476,0,0,0,0,0,1885
FALSE,5,1028,102,215,27,4,6,76,32,0.209143969,0.260700389,0,0,0,0,0,305
FALSE,12,2646,246,660,106,34,16,296,36,0.249433107,0.333333333,0,0,0,0,0,1038
FALSE,3,1007,148,289,40,17,5,69,36,0.286991063,0.375372393,0,0,0,0,0,440
FALSE,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
FALSE,2,17,3,2,0,0,0,0,0,0.117647059,0.117647059,0,0,0,0,0,2
FALSE,5,902,75,204,32,16,3,73,21,0.22616408,0.307095344,0,0,0,0,0,328
FALSE,3,124,10,23,2,1,1,6,3,0.185483871,0.241935484,0,0,0,0,0,34
