InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,B,B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
TRUE,TRUE,Tris Speaker,22,10195,1882,3514,2,3,117,1529,432,0.344678764100049,0.500343305541932,0,1,0,0,0,5101,27,1928,1524
TRUE,TRUE,Bill Terry,14,6428,1120,2193,2,3,154,1078,56,0.34116365899191,0.505911636589919,3,0,0,0,0,3252,12,1936,1980
TRUE,TRUE,Pie Traynor,17,7559,1183,2416,2,3,58,1273,158,0.319618997221855,0.435110464347136,2,0,0,0,0,3289,26,1937,2019
TRUE,TRUE,Mickey Cochrane,13,5169,1041,1652,2,3,119,832,64,0.319597601083382,0.477848713484233,2,2,0,0,0,2470,28,1937,2046
TRUE,TRUE,Charlie Gehringer,19,8860,1774,2839,2,3,184,1427,181,0.320428893905192,0.480474040632054,6,1,0,0,0,4257,24,1942,2268
TRUE,TRUE,Paul Waner,20,9459,1627,3152,2,3,113,1309,104,0.333227613912676,0.47341156570462,4,1,0,0,0,4478,14,1945,2475
TRUE,TRUE,Joe Cronin,20,7579,1233,2285,2,3,170,1424,87,0.30149096186832,0.467871750890619,7,0,0,0,0,3546,20,1945,2565
TRUE,TRUE,Joe Medwick,17,7635,1198,2471,2,3,205,1383,42,0.323641126391618,0.504518664047151,10,1,1,0,0,3852,22,1948,2784
TRUE,TRUE,Luke Appling,20,8856,1319,2749,2,3,45,1116,179,0.310411020776874,0.398373983739837,7,0,0,0,0,3528,10,1950,2862
TRUE,TRUE,Joe DiMaggio,13,6821,1390,2214,2,3,361,1537,30,0.324585837853687,0.578800762351561,13,3,0,0,0,3948,36,1951,2952
TRUE,TRUE,Lou Boudreau,15,6029,861,1779,2,3,68,789,51,0.295073809918726,0.414662464753691,8,1,0,0,0,2500,11,1952,2964
TRUE,TRUE,Roy Campanella,10,4205,627,1161,2,3,242,856,25,0.276099881093936,0.499643281807372,8,3,0,0,0,2101,10,1957,3297
TRUE,TRUE,Ted Williams,19,7706,1798,2654,2,3,521,1839,24,0.344406955618998,0.633791850506099,17,2,2,0,0,4884,39,1960,3435
TRUE,TRUE,Eddie Mathews,17,8537,1509,2315,2,3,512,1453,68,0.271172543047909,0.509429541993675,9,0,0,0,0,4349,4,1968,3864
TRUE,TRUE,Willie Mays,22,10881,2062,3283,2,3,660,1903,338,0.301718592041173,0.557485525227461,20,2,0,12,0,6066,32,1973,4143
TRUE,TRUE,Billy Williams,18,9350,1410,2711,2,3,426,1475,90,0.289946524064171,0.491871657754011,6,0,0,0,0,4599,7,1976,4368
TRUE,TRUE,Lou Brock,19,10332,1610,3023,2,3,149,900,938,0.292586140147116,0.410181958962447,6,0,0,0,0,4238,7,1979,4587
TRUE,TRUE,Carl Yastrzemski,23,11988,1816,3419,2,3,452,1844,168,0.285201868535202,0.462045378712045,18,1,1,7,0,5539,16,1983,4857
TRUE,TRUE,Johnny Bench,17,7658,1091,2048,2,3,389,1376,68,0.267432750065291,0.475842256463829,14,2,0,10,0,3644,26,1983,4890
TRUE,TRUE,Rod Carew,19,9315,1424,3053,2,3,92,1015,353,0.327750939345142,0.429200214707461,18,1,0,0,0,3998,14,1985,5043
TRUE,TRUE,Reggie Jackson,21,9864,1551,2584,2,3,563,1702,228,0.261962692619627,0.490064882400649,14,1,0,0,0,4834,13,1987,5181
TRUE,TRUE,Robin Yount,20,11008,1632,3142,2,3,251,1406,271,0.285428779069767,0.4296875,3,2,0,1,0,4730,12,1993,5616
TRUE,TRUE,Ryne Sandberg,16,8385,1318,2386,2,3,282,1061,344,0.284555754323196,0.451639833035182,10,1,0,9,0,3787,25,1997,5937
