InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Tex Wisterzil,2,828,83,215,26,14,0,105,29,.260,.325,0,269,0,1915,wistete01
FALSE,FALSE,William Robinson,10,3436,700,827,148,44,16,400,272,.241,.323,0,1111,0,1892,robinya01
FALSE,FALSE,Nick Johnson,10,2698,430,723,173,5,95,398,29,.268,.441,0,1191,0,2012,johnsni01
FALSE,FALSE,Fritz Buelow,9,1334,125,256,25,18,6,112,20,.192,.251,0,335,0,1907,buelofr01
FALSE,FALSE,Hap Myers,5,1251,203,335,42,7,4,116,132,.268,.322,0,403,0,1915,myersha01
FALSE,FALSE,Tommy Glaviano,5,1008,191,259,55,6,24,108,11,.257,.395,0,398,0,1953,glavito01
FALSE,FALSE,Deion Sanders,9,2123,308,558,72,43,39,168,186,.263,.392,0,833,0,2001,sandede02
FALSE,FALSE,Tommie Reynolds,8,1170,141,265,35,5,12,87,12,.226,.296,0,346,0,1972,reynoto01
FALSE,FALSE,Ed Kennedy,4,1105,142,225,20,13,5,23,1,.204,.259,0,286,0,1886,kenneed01
FALSE,FALSE,Sam Trott,8,1354,166,338,73,22,3,123,9,.250,.343,0,464,0,1888,trottsa01
FALSE,FALSE,Alex McCarthy,8,1335,136,306,34,11,5,122,23,.229,.282,0,377,0,1917,mccaral01
FALSE,FALSE,Bill Nagel,3,617,62,140,30,8,15,72,5,.227,.374,0,231,0,1945,nagelbi01
FALSE,FALSE,Eric McNair,14,4519,592,1240,229,29,82,633,59,.274,.392,0,1773,0,1942,mcnaier01
FALSE,FALSE,Billy Gilbert,8,2816,375,695,72,17,4,237,167,.247,.289,0,813,0,1909,gilbebi02
FALSE,FALSE,Wid Matthews,3,663,79,188,21,10,1,39,19,.284,.350,0,232,0,1925,matthwi02
FALSE,FALSE,Fred Nicholson,5,794,112,247,34,21,12,107,21,.311,.452,0,359,0,1922,nichofr02
FALSE,FALSE,Tommy Beals,6,539,109,131,15,16,0,64,6,.243,.330,0,178,0,1880,bealsto01
FALSE,FALSE,Sal Fasano,11,1109,136,245,49,0,47,140,2,.221,.392,0,435,0,2008,fasansa01
FALSE,FALSE,Johnny Sturm,1,524,58,125,17,3,3,36,3,.239,.300,0,157,0,1941,sturmjo01
FALSE,FALSE,Jack Farrell,2,746,85,171,33,5,0,49,20,.229,.287,0,214,0,1915,farreja03
FALSE,FALSE,Vic Harris,8,1610,168,349,57,15,13,121,36,.217,.295,0,475,0,1980,harrivi01
FALSE,FALSE,Eric Soderholm,9,2894,402,764,120,14,102,383,18,.264,.421,0,1218,0,1980,soderer01
FALSE,FALSE,Joe Tipton,7,1117,116,264,36,5,29,125,3,.236,.355,0,397,0,1954,tiptojo01
FALSE,FALSE,Mike Andrews,8,3116,441,803,140,4,66,316,18,.258,.369,1,1149,0,1973,andremi01
FALSE,FALSE,Ken Harrelson,9,2941,374,703,94,14,131,421,53,.239,.414,1,1218,2,1971,harreke01
FALSE,FALSE,Jack McCarthy,12,4200,551,1205,171,66,8,476,145,.287,.365,0,1532,0,1907,mccarja01
FALSE,FALSE,Chris Truby,4,819,78,189,42,9,23,107,5,.231,.388,0,318,0,2003,trubych01
FALSE,FALSE,Nelson Liriano,11,2216,296,576,105,27,25,240,59,.260,.366,0,810,0,1998,liriane01
FALSE,FALSE,Tommy Gregg,9,880,86,214,41,2,20,88,14,.243,.363,0,319,0,1997,greggto01
FALSE,FALSE,Bill Hassamaer,3,1059,163,306,58,23,7,178,25,.289,.407,0,431,0,1896,hassabi01
FALSE,FALSE,Tom Veryzer,12,2848,250,687,84,12,14,231,9,.241,.294,0,837,0,1984,veryzto01
FALSE,FALSE,Fred Merkle,16,5782,720,1580,290,82,61,733,272,.273,.383,0,2217,0,1926,merklfr01
FALSE,FALSE,Ricky Gutierrez,12,3632,471,967,141,25,38,357,50,.266,.350,0,1272,0,2004,gutieri01
FALSE,FALSE,Cal McVey,9,2513,555,869,133,44,11,449,26,.346,.447,0,1123,0,1879,mcveyca01
FALSE,FALSE,Jackie Tavener,6,2131,254,543,88,53,13,243,46,.255,.364,0,776,0,1929,tavenja01
FALSE,FALSE,Bobby Estalella,9,904,126,195,49,5,48,147,6,.216,.440,0,398,0,2004,estalbo02
FALSE,FALSE,Keith Moreland,12,4581,511,1279,214,14,121,674,28,.279,.411,0,1884,0,1989,morelke01
FALSE,FALSE,Jim Hickman,5,727,84,158,26,13,8,70,27,.217,.322,0,234,0,1919,hickmji01
FALSE,FALSE,Billy Hatcher,12,4339,586,1146,210,30,54,399,218,.264,.364,0,1578,1,1995,hatchbi01
FALSE,FALSE,Hiram Bocachica,8,535,69,115,28,1,15,37,16,.215,.355,0,190,0,2007,bocachi01
FALSE,FALSE,Jim Kelly,3,714,91,212,15,22,4,57,42,.297,.396,0,283,0,1918,kellyji01
FALSE,FALSE,Dutch Meyer,6,994,113,262,49,12,10,93,5,.264,.367,0,365,0,1946,meyerdu01
FALSE,FALSE,Dale Berra,11,2553,236,603,109,9,49,278,32,.236,.344,0,877,0,1987,berrada01
FALSE,FALSE,Curtis Goodwin,5,1014,129,251,38,4,3,56,66,.248,.302,0,306,0,1999,goodwcu01
FALSE,FALSE,Jose Molina,15,2546,240,592,117,3,39,223,20,.233,.327,0,832,0,2014,molinjo01
FALSE,FALSE,Frank Isbell,10,4219,501,1056,158,62,13,455,253,.250,.326,0,1377,0,1909,isbelfr01
FALSE,FALSE,Tyler Collins,4,502,53,118,17,7,14,58,3,.235,.380,0,191,0,2017,collity01
FALSE,FALSE,John Peltz,3,871,106,195,25,26,4,48,18,.224,.326,0,284,0,1890,peltzjo01
FALSE,FALSE,Mickey Haslin,6,974,125,265,33,8,9,109,8,.272,.350,0,341,0,1938,haslimi01
FALSE,FALSE,Earle Brucker,5,707,87,205,53,8,12,105,2,.290,.438,0,310,0,1943,bruckea01
FALSE,FALSE,Leon Roberts,11,2737,342,731,126,28,78,328,26,.267,.419,0,1147,0,1984,roberle01
FALSE,FALSE,Craig Worthington,7,1234,126,284,50,0,33,144,3,.230,.351,0,433,0,1996,worthcr01
FALSE,FALSE,Rollie Zeider,9,3210,393,769,89,22,5,253,223,.240,.286,0,917,0,1918,zeidero01
FALSE,FALSE,Bill Killefer,13,3150,237,751,86,21,4,240,39,.238,.283,0,891,4,1921,killebi01
FALSE,FALSE,Charlie Neal,8,3316,461,858,113,38,87,391,48,.259,.394,2,1308,1,1963,nealch01
FALSE,FALSE,Ted Gullic,2,612,73,151,25,8,9,79,7,.247,.358,0,219,0,1933,gullite01
