AlgorithmName,LabelColumn,Seed,F1Score,AreaUnderPrecisionRecallCurve,AreaUnderRocCurve,PositivePrecision,PositiveRecall,Accuracy,LogLoss
GeneralizedAdditiveModels,OnHallOfFameBallot,100,0.6115,0.7699,0.9721,0.8133,0.49,0.9464,0.1877
GeneralizedAdditiveModels,InductedToHallOfFame,100,0.8,0.9129,0.9987,0.8966,0.7222,0.9955,0.0202
LogisticRegression,OnHallOfFameBallot,100,0.6489,0.7694,0.97,0.8171,0.5382,0.9499,0.1768
LogisticRegression,InductedToHallOfFame,100,0.6786,0.907,0.9985,0.95,0.5278,0.9938,0.0204
FastTree,OnHallOfFameBallot,100,0.6833,0.7369,0.9682,0.584,0.8233,0.9343,0.1951
FastTree,InductedToHallOfFame,100,0.7761,0.9059,0.9987,0.8387,0.7222,0.9948,0.0213
LightGbm,OnHallOfFameBallot,100,0.6583,0.7416,0.967,0.5398,0.8434,0.9246,0.3039
LightGbm,InductedToHallOfFame,100,0.7619,0.8596,0.9719,0.8889,0.6667,0.9948,0.0382
StochasticGradientDescentCalibrated,OnHallOfFameBallot,100,0.5928,0.7644,0.9692,0.8273,0.4618,0.9454,0.1872
StochasticGradientDescentCalibrated,InductedToHallOfFame,100,0.5306,0.8933,0.9983,1,0.3611,0.992,0.0255
